method,iterations,time,residual,fitness,cond_num
M-norm,54,0.26557183265686035,1202.1330730398147,0.9749513601816313,5.4660613612276
M-norm,55,0.27036356925964355,1202.1322289272334,0.9749513777702599,5.4659943822710195
M-norm,56,0.2751655578613281,1202.1315066022412,0.9749513928212213,5.465932354423828
M-norm,57,0.2798948287963867,1202.1308883728962,0.9749514057031596,5.465874909287901
M-norm,58,0.28478288650512695,1202.1303591384615,0.9749514167307265,5.465821706230393
M-norm,59,0.28995180130004883,1202.1299060062277,0.9749514261725648,5.46577243022059
M-norm,60,0.29459285736083984,1202.1295179656229,0.9749514342581,5.465726789854432
M-norm,61,0.299389123916626,1202.129185610947,0.9749514411833172,5.465684515544131
M-norm,62,0.3039431571960449,1202.1289009053794,0.974951447115678,5.465645357855235
M-norm,63,0.3090240955352783,1202.128656980049,0.9749514521983081,5.465609085976525
M-norm,64,0.31392693519592285,1202.1284479628926,0.9749514565535626,5.465575486310519
M-norm,65,0.3189101219177246,1202.1282688328356,0.9749514602860648,5.4655443611739125
M-norm,66,0.3237190246582031,1202.128115295507,0.9749514634852957,5.4655155275987495
M-norm,67,0.32859110832214355,1202.1279836772742,0.9749514662278022,5.46548881622573
M-norm,68,0.33324146270751953,1202.127870834864,0.97495146857908,5.465464070282552
M-norm,69,0.338564395904541,1202.1277740782614,0.9749514705951806,5.465441144640097
M-norm,70,0.3434624671936035,1202.1276911049051,0.9749514723240822,5.465419904940539
M-norm,71,0.3484025001525879,1202.1276199435206,0.9749514738068598,5.465400226791663
M-norm,72,0.3530914783477783,1202.1275589061545,0.9749514750786848,5.4653819950223275
M-norm,73,0.3581364154815674,1202.1275065472073,0.9749514761696791,5.465365102993885
M-norm,74,0.36340951919555664,1202.1274616284356,0.9749514771056439,5.465349451964116
M-norm,75,0.3685624599456787,1202.1274230890415,0.9749514779086826,5.465334950498602
M-norm,76,0.37352848052978516,1202.1273900201056,0.9749514785977343,5.465321513926701
M-norm,77,0.37845754623413086,1202.1273616427313,0.9749514791890288,5.465309063838189
M-norm,78,0.383089542388916,1202.1273372893509,0.974951479696476,5.465297527618006
M-norm,79,0.3882415294647217,1202.1273163877372,0.9749514801319993,5.46528683801546
M-norm,80,0.39325952529907227,1202.1272984473235,0.9749514805058206,5.465276932745983
M-norm,81,0.3982217311859131,1202.1272830475014,0.974951480826704,5.465267754122713
M-norm,82,0.40354251861572266,1202.1272698275984,0.9749514811021649,5.465259248715343
M-norm,83,0.40870141983032227,1202.127258478306,0.9749514813386482,5.465251367034718
M-norm,84,0.41361165046691895,1202.127248734333,0.9749514815416817,5.465244063240799
M-norm,85,0.41820454597473145,1202.1272403681207,0.974951481716007,5.4652372948724794
M-norm,86,0.4232766628265381,1202.1272331844548,0.9749514818656918,5.465231022597507
M-norm,87,0.428302526473999,1202.1272270158543,0.9749514819942259,5.465225209981017
M-norm,88,0.4328124523162842,1202.1272217186167,0.9749514821046035,5.465219823271305
M-norm,89,0.43790745735168457,1202.1272171694325,0.974951482199394,5.465214831201388
M-norm,90,0.44309544563293457,1202.1272132624822,0.9749514822808024,5.46521020480566
M-norm,91,0.4476644992828369,1202.1272099069483,0.9749514823507212,5.465205917249661
M-norm,92,0.45284366607666016,1202.127207024883,0.9749514824107742,5.465201943672948
M-norm,93,0.4583306312561035,1202.1272045493783,0.974951482462356,5.465198261043306
M-norm,94,0.4628326892852783,1202.1272024230004,0.9749514825066629,5.465194848021899
M-norm,95,0.4679889678955078,1202.1272005964431,0.9749514825447225,5.465191684838446
M-norm,96,0.4731318950653076,1202.1271990273763,0.9749514825774169,5.465188753175469
M-norm,97,0.47768187522888184,1202.1271976794558,0.9749514826055034,5.465186036061355
M-norm,98,0.4826357364654541,1202.1271965214758,0.9749514826296319,5.465183517771068
M-norm,99,0.4883458614349365,1202.1271955266402,0.9749514826503611,5.465181183734487
